term,normalized_term,category,confidence,reason,table_count,total_occurrences,header_table_count,title_table_count,cell_table_count,unit_context_table_count,measure_context_table_count,generic_context_table_count,unit_only_table_count,measure_only_table_count,generic_only_table_count,mixed_context_table_count,unit_lexical_match,measure_lexical_match,sources,columns
Direction of flow,direction of flow,dimension_name,high,Predominantly appears as a descriptive table header.,118,118,118,0,0,0,0,0,0,0,0,0,False,False,header,Direction of flow
Individual type,individual type,dimension_name,high,Predominantly appears as a descriptive table header.,118,118,118,0,0,0,0,0,0,0,0,0,False,False,header,Individual type
Traffic and transport measurement,traffic and transport measurement,dimension_name,high,Predominantly appears as a descriptive table header.,118,118,118,0,0,0,0,0,0,0,0,0,False,False,header,Traffic and transport measurement
Business trend indicator,business trend indicator,dimension_name,high,Predominantly appears as a descriptive table header.,116,116,116,0,0,0,0,0,0,0,0,0,False,False,header,Business trend indicator
Agricultural area,agricultural area,dimension_name,high,Predominantly appears as a descriptive table header.,115,115,115,0,0,0,0,0,0,0,0,0,False,False,header,Agricultural area
Income and living conditions indicator,income and living conditions indicator,dimension_name,high,Predominantly appears as a descriptive table header.,113,113,113,0,0,0,0,0,0,0,0,0,False,True,header,Income and living conditions indicator
Income situation in relation to the risk of poverty threshold,income situation in relation to the risk of poverty threshold,dimension_name,high,Predominantly appears as a descriptive table header.,112,112,112,0,0,0,0,0,0,0,0,0,False,True,header,Income situation in relation to the risk of poverty threshold
Enterprise,enterprise,dimension_name,high,Predominantly appears as a descriptive table header.,106,106,106,0,0,0,0,0,0,0,0,0,False,False,header,Enterprise
Statistical information,statistical information,dimension_name,high,Predominantly appears as a descriptive table header.,105,105,105,0,0,0,0,0,0,0,0,0,False,False,header,Statistical information
Income quantile,income quantile,dimension_name,high,Predominantly appears as a descriptive table header.,104,104,104,0,0,0,0,0,0,0,0,0,False,True,header,Income quantile
Breakdown by type of innovator,breakdown by type of innovator,dimension_name,high,Predominantly appears as a descriptive table header.,102,102,102,0,0,0,0,0,0,0,0,0,False,False,header,Breakdown by type of innovator
Training,training,dimension_name,high,Predominantly appears as a descriptive table header.,100,67377,99,0,1,0,0,1,0,0,1,0,False,False,cell|header,Reason|Training|training
Country of destination,country of destination,dimension_name,high,Predominantly appears as a descriptive table header.,98,98,98,0,0,0,0,0,0,0,0,0,False,False,header,Country of destination
Maritime entity (partner),maritime entity (partner),dimension_name,high,Predominantly appears as a descriptive table header.,96,96,96,0,0,0,0,0,0,0,0,0,False,False,header,Maritime entity (partner)
Balance of payments item,balance of payments item,dimension_name,high,Predominantly appears as a descriptive table header.,92,92,92,0,0,0,0,0,0,0,0,0,False,False,header,Balance of payments item
Health problems,health problems,dimension_name,high,Predominantly appears as a descriptive table header.,89,89,89,0,0,0,0,0,0,0,0,0,False,False,header,Health problems
International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),international statistical classification of diseases and related health problems (icd-10 2010),dimension_name,high,Predominantly appears as a descriptive table header.,86,86,86,0,0,0,0,0,0,0,0,0,False,False,header,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010)
Classification of individual consumption by purpose (COICOP),classification of individual consumption by purpose (coicop),dimension_name,high,Predominantly appears as a descriptive table header.,85,85,85,0,0,0,0,0,0,0,0,0,False,True,header,Classification of individual consumption by purpose (COICOP)
Type of cargo,type of cargo,dimension_name,high,Predominantly appears as a descriptive table header.,82,82,82,0,0,0,0,0,0,0,0,0,False,False,header,Type of cargo
Standard international energy product classification (SIEC),standard international energy product classification (siec),dimension_name,high,Predominantly appears as a descriptive table header.,80,80,80,0,0,0,0,0,0,0,0,0,False,False,header,Standard international energy product classification (SIEC)
Household composition,household composition,dimension_name,high,Predominantly appears as a descriptive table header.,79,79,79,0,0,0,0,0,0,0,0,0,False,False,header,Household composition
Nationality of registration of vessel,nationality of registration of vessel,dimension_name,high,Predominantly appears as a descriptive table header.,79,79,79,0,0,0,0,0,0,0,0,0,False,True,header,Nationality of registration of vessel
International Standard Classification of Occupations for European Union purposes (ISCO-88 (COM)),international standard classification of occupations for european union purposes (isco-88 (com)),dimension_name,high,Predominantly appears as a descriptive table header.,78,78,78,0,0,0,0,0,0,0,0,0,False,False,header,International Standard Classification of Occupations for European Union purposes (ISCO-88 (COM))
Purpose,purpose,dimension_name,high,Predominantly appears as a descriptive table header.,76,76,76,0,0,0,0,0,0,0,0,0,False,False,header,Purpose
Classification of activities for time use,classification of activities for time use,dimension_name,high,Predominantly appears as a descriptive table header.,73,73,73,0,0,0,0,0,0,0,0,0,False,False,header,Classification of activities for time use
Airport pairs (routes),airport pairs (routes),dimension_name,high,Predominantly appears as a descriptive table header.,71,71,71,0,0,0,0,0,0,0,0,0,False,False,header,Airport pairs (routes)
Modalities of the variable for the ad-hoc module,modalities of the variable for the ad-hoc module,dimension_name,high,Predominantly appears as a descriptive table header.,70,70,70,0,0,0,0,0,0,0,0,0,False,False,header,Modalities of the variable for the ad-hoc module
Quantile,quantile,dimension_name,high,Predominantly appears as a descriptive table header.,69,69,69,0,0,0,0,0,0,0,0,0,False,False,header,Quantile
Severity (days lost),severity (days lost),dimension_name,high,Predominantly appears as a descriptive table header.,69,69,69,0,0,0,0,0,0,0,0,0,False,False,header,Severity (days lost)
Species,species,dimension_name,high,Predominantly appears as a descriptive table header.,69,69,69,0,0,0,0,0,0,0,0,0,False,False,header,Species|species
variable,variable,dimension_name,high,Predominantly appears as a descriptive table header.,68,68,68,0,0,0,0,0,0,0,0,0,False,False,header,Variable|variable
Eurofarm indicators,eurofarm indicators,dimension_name,high,Predominantly appears as a descriptive table header.,66,66,66,0,0,0,0,0,0,0,0,0,False,False,header,Eurofarm indicators
product,product,dimension_name,high,Predominantly appears as a descriptive table header.,64,64,64,0,0,0,0,0,0,0,0,0,False,False,header,product
Sector (ESA 2010),sector (esa 2010),dimension_name,high,Predominantly appears as a descriptive table header.,64,64,64,0,0,0,0,0,0,0,0,0,False,False,header,Sector (ESA 2010)
Sector (ESA 2010).1,sector (esa 2010).1,dimension_name,high,Predominantly appears as a descriptive table header.,64,64,64,0,0,0,0,0,0,0,0,0,False,False,header,Sector (ESA 2010).1
Demographic indicator,demographic indicator,dimension_name,high,Predominantly appears as a descriptive table header.,59,59,59,0,0,0,0,0,0,0,0,0,False,False,header,Demographic indicator
Territorial typology,territorial typology,dimension_name,high,Predominantly appears as a descriptive table header.,57,57,57,0,0,0,0,0,0,0,0,0,False,False,header,Territorial typology
Crops,crops,dimension_name,high,Predominantly appears as a descriptive table header.,56,143,55,0,1,0,0,1,0,0,1,0,False,False,cell|header,Crops|Nomenclature for the analysis and comparison of scientific programmes and budgets (NABS 1992)
Type of employment contract,type of employment contract,dimension_name,high,Predominantly appears as a descriptive table header.,55,55,55,0,0,0,0,0,0,0,0,0,False,True,header,Type of employment contract
"Standard International Trade Classification (SITC Rev. 4, 2006)","standard international trade classification (sitc rev. 4, 2006)",dimension_name,high,Predominantly appears as a descriptive table header.,53,53,53,0,0,0,0,0,0,0,0,0,False,False,header,"Standard International Trade Classification (SITC Rev. 4, 2006)"
nace_r2,nace_r2,dimension_name,high,Predominantly appears as a descriptive table header.,51,51,51,0,0,0,0,0,0,0,0,0,False,False,header,nace_r2
Energy balance,energy balance,dimension_name,high,Predominantly appears as a descriptive table header.,50,51,50,1,0,0,0,0,0,0,0,0,False,False,header|title,Energy balance|title
Financial position,financial position,dimension_name,high,Predominantly appears as a descriptive table header.,50,50,50,0,0,0,0,0,0,0,0,0,False,False,header,Financial position
Transport coverage,transport coverage,dimension_name,high,Predominantly appears as a descriptive table header.,50,50,50,0,0,0,0,0,0,0,0,0,False,False,header,Transport coverage
Vehicles,vehicles,dimension_name,high,Predominantly appears as a descriptive table header.,50,50,50,0,0,0,0,0,0,0,0,0,False,False,header,Vehicles
Area under corresponding crop,area under corresponding crop,dimension_name,high,Predominantly appears as a descriptive table header.,48,48,48,0,0,0,0,0,0,0,0,0,False,False,header,Area under corresponding crop
Survey answer - Yes/No,survey answer - yes/no,dimension_name,high,Predominantly appears as a descriptive table header.,46,46,46,0,0,0,0,0,0,0,0,0,False,False,header,Survey answer - Yes/No
Migration status,migration status,dimension_name,high,Predominantly appears as a descriptive table header.,45,45,45,0,0,0,0,0,0,0,0,0,False,True,header,Migration status
Consolidated/Non consolidated,consolidated/non consolidated,dimension_name,high,Predominantly appears as a descriptive table header.,44,44,44,0,0,0,0,0,0,0,0,0,False,False,header,Consolidated/Non consolidated
Health indicator,health indicator,dimension_name,high,Predominantly appears as a descriptive table header.,42,42,42,0,0,0,0,0,0,0,0,0,False,False,header,Health indicator
Indicator,indicator,dimension_name,high,Predominantly appears as a descriptive table header.,42,42,42,0,0,0,0,0,0,0,0,0,False,False,header,Indicator
age,age,dimension_name,high,Predominantly appears as a descriptive table header.,41,41706,32,0,9,0,0,9,0,0,9,0,False,False,cell|header,Reason|age
Country of residence,country of residence,dimension_name,high,Predominantly appears as a descriptive table header.,41,41,41,0,0,0,0,0,0,0,0,0,False,False,header,Country of residence
size_emp,size_emp,dimension_name,high,Predominantly appears as a descriptive table header.,41,41,41,0,0,0,0,0,0,0,0,0,False,False,header,size_emp
fishreg,fishreg,dimension_name,high,Predominantly appears as a descriptive table header.,40,40,40,0,0,0,0,0,0,0,0,0,False,False,header,fishreg
Metropolitan regions,metropolitan regions,dimension_name,high,Predominantly appears as a descriptive table header.,40,40,40,0,0,0,0,0,0,0,0,0,False,False,header,Metropolitan regions
Standard output in Euros,standard output in euros,dimension_name,high,Predominantly appears as a descriptive table header.,40,40,40,0,0,0,0,0,0,0,0,0,True,False,header,Standard output in Euros
Decision,decision,dimension_name,high,Predominantly appears as a descriptive table header.,39,39,39,0,0,0,0,0,0,0,0,0,False,False,header,Decision
Employment indicator,employment indicator,dimension_name,high,Predominantly appears as a descriptive table header.,38,38,38,0,0,0,0,0,0,0,0,0,False,True,header,Employment indicator
Level of difficulty,level of difficulty,dimension_name,high,Predominantly appears as a descriptive table header.,38,38,38,0,0,0,0,0,0,0,0,0,False,False,header,Level of difficulty
Barriers,barriers,dimension_name,high,Predominantly appears as a descriptive table header.,37,37,37,0,0,0,0,0,0,0,0,0,False,False,header,Barriers
Level,level,dimension_name,high,Predominantly appears as a descriptive table header.,37,37,37,0,0,0,0,0,0,0,0,0,False,False,header,Level
Education indicator,education indicator,dimension_name,high,Predominantly appears as a descriptive table header.,36,36,36,0,0,0,0,0,0,0,0,0,False,False,header,Education indicator
Indicator used in Euro_Med,indicator used in euro_med,dimension_name,high,Predominantly appears as a descriptive table header.,35,35,35,0,0,0,0,0,0,0,0,0,True,False,header,Indicator used in Euro_Med
Tenure status,tenure status,dimension_name,high,Predominantly appears as a descriptive table header.,35,35,35,0,0,0,0,0,0,0,0,0,False,False,header,Tenure status
Length of service,length of service,dimension_name,high,Predominantly appears as a descriptive table header.,33,33,33,0,0,0,0,0,0,0,0,0,False,False,header,Length of service
Collective pay agreement,collective pay agreement,dimension_name,high,Predominantly appears as a descriptive table header.,32,32,32,0,0,0,0,0,0,0,0,0,False,False,header,Collective pay agreement
External trade indicator,external trade indicator,dimension_name,high,Predominantly appears as a descriptive table header.,32,32,32,0,0,0,0,0,0,0,0,0,False,False,header,External trade indicator
Sector of performance,sector of performance,dimension_name,high,Predominantly appears as a descriptive table header.,32,32,32,0,0,0,0,0,0,0,0,0,False,False,header,Sector of performance
Classifications of environmental activities: environmental protection activities (CEPA) and resource management activities (CReMA),classifications of environmental activities: environmental protection activities (cepa) and resource management activities (crema),dimension_name,high,Predominantly appears as a descriptive table header.,31,31,31,0,0,0,0,0,0,0,0,0,False,False,header,Classifications of environmental activities: environmental protection activities (CEPA) and resource management activities (CReMA)
Farm type,farm type,dimension_name,high,Predominantly appears as a descriptive table header.,31,31,31,0,0,0,0,0,0,0,0,0,False,False,header,Farm type
Geopolitical entity (declaring),geopolitical entity (declaring),dimension_name,high,Predominantly appears as a descriptive table header.,31,31,31,0,0,0,0,0,0,0,0,0,False,False,header,Geopolitical entity (declaring)
indic_is,indic_is,dimension_name,high,Predominantly appears as a descriptive table header.,31,31,31,0,0,0,0,0,0,0,0,0,False,False,header,indic_is
