term,normalized_term,category,confidence,reason,table_count,total_occurrences,header_table_count,title_table_count,cell_table_count,unit_context_table_count,measure_context_table_count,generic_context_table_count,unit_only_table_count,measure_only_table_count,generic_only_table_count,mixed_context_table_count,unit_lexical_match,measure_lexical_match,sources,columns
Population on 1 January - total,population on 1 january - total,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,5,454,0,0,5,0,4,1,0,4,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Relative poverty gap (cut-off point: 60% of median equivalised income),relative poverty gap (cut-off point: 60% of median equivalised income),measure,high,Matches a measure pattern and appears in a statistical-indicator column.,5,427,0,0,5,0,5,0,0,5,0,0,False,True,cell,Income and living conditions indicator
Total employment (resident population concept - LFS),total employment (resident population concept - lfs),measure,high,Matches a measure pattern and appears in a statistical-indicator column.,5,325,0,0,5,0,5,0,0,5,0,0,False,True,cell,Employment indicator
Total fertility rate,total fertility rate,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,5,269,0,2,4,0,3,1,0,3,1,0,False,True,cell|title,Categorisation of active substances for harmonised risk indicator|Demographic indicator|title
Final consumption expenditure of general government,final consumption expenditure of general government,measure,medium,Matches a measure pattern and appears in a title or mixed statistical context.,5,255,0,1,5,0,0,5,0,0,5,0,False,True,cell|title,National accounts indicator (ESA 2010)|title
Value at the end of the period,value at the end of the period,measure,high,Predominantly appears exclusively in statistical measure columns.,5,70,0,0,5,0,4,1,0,4,1,0,False,False,cell,Categorisation of active substances for harmonised risk indicator|Statistical information
Final consumption expenditure,final consumption expenditure,measure,medium,Matches a measure pattern and appears in a title or mixed statistical context.,5,18,0,1,4,1,0,3,1,0,3,0,False,True,cell|title,National accounts indicator (ESA 2010)|Unit of measure|title
Volume of sales,volume of sales,measure,high,Predominantly appears exclusively in statistical measure columns.,4,453,0,0,4,0,4,0,0,4,0,0,False,False,cell,Business trend indicator
Total general government expenditure,total general government expenditure,measure,medium,Matches a measure pattern and appears in a title or mixed statistical context.,4,267,0,1,4,1,0,3,1,0,3,0,False,True,cell|title,National accounts indicator (ESA 2010)|Unit of measure|title
Gross domestic product,gross domestic product,measure,medium,Matches a measure pattern and appears in a title or mixed statistical context.,4,164,0,1,3,0,0,3,0,0,3,0,False,True,cell|title,Analytical categories for purchasing power parities (PPPs) calculation|title
