term,normalized_term,category,confidence,reason,table_count,total_occurrences,header_table_count,title_table_count,cell_table_count,unit_context_table_count,measure_context_table_count,generic_context_table_count,unit_only_table_count,measure_only_table_count,generic_only_table_count,mixed_context_table_count,unit_lexical_match,measure_lexical_match,sources,columns
"Chain linked volumes (2015), euro per capita","chain linked volumes (2015), euro per capita",unit,high,Matches a unit pattern and appears exclusively in unit columns.,1,29,0,0,1,1,0,0,1,0,0,0,True,False,cell,Unit of measure
Percentage change (t/t-5),percentage change (t/t-5),unit,high,Matches a unit pattern and appears exclusively in unit columns.,1,29,0,0,1,1,0,0,1,0,0,0,True,False,cell,Unit of measure
Percentage of GDP - three-year average,percentage of gdp - three-year average,unit,high,Matches a unit pattern and appears exclusively in unit columns.,1,29,0,0,1,1,0,0,1,0,0,0,True,True,cell,Unit of measure
Percentage of risk-weighted assets,percentage of risk-weighted assets,unit,high,Matches a unit pattern and appears exclusively in unit columns.,1,29,0,0,1,1,0,0,1,0,0,0,True,True,cell,Unit of measure
Percentage of total employment - numerator in full-time equivalent (FTE),percentage of total employment - numerator in full-time equivalent (fte),unit,high,Matches a unit pattern and appears exclusively in unit columns.,1,29,0,0,1,1,0,0,1,0,0,0,True,True,cell,Unit of measure
Seasonally and calendar adjusted trade value in million ECU/EURO,seasonally and calendar adjusted trade value in million ecu/euro,unit,medium,Matches a unit pattern but appears in a mixed context.,1,29,0,0,1,0,1,0,0,1,0,0,True,False,cell,External trade indicator
Square metres per 1000 inhabitants,square metres per 1000 inhabitants,unit,high,Matches a unit pattern and appears exclusively in unit columns.,1,29,0,0,1,1,0,0,1,0,0,0,True,False,cell,Unit of measure
Export unit value index (2015=100),export unit value index (2015=100),unit,medium,Matches a unit pattern but appears in a mixed context.,1,28,0,0,1,0,1,0,0,1,0,0,True,False,cell,External trade indicator
Export volume index (2015=100),export volume index (2015=100),unit,medium,Matches a unit pattern but appears in a mixed context.,1,28,0,0,1,0,1,0,0,1,0,0,True,False,cell,External trade indicator
Import unit value index (2015=100),import unit value index (2015=100),unit,medium,Matches a unit pattern but appears in a mixed context.,1,28,0,0,1,0,1,0,0,1,0,0,True,False,cell,External trade indicator
Import volume index (2015=100),import volume index (2015=100),unit,medium,Matches a unit pattern but appears in a mixed context.,1,28,0,0,1,0,1,0,0,1,0,0,True,False,cell,External trade indicator
"Index, 2015-2017 average =100","index, 2015-2017 average =100",unit,high,Matches a unit pattern and appears exclusively in unit columns.,1,28,0,0,1,1,0,0,1,0,0,0,True,True,cell,Unit of measure
Per inhabitant,per inhabitant,unit,high,Predominantly appears exclusively in unit columns.,1,28,0,0,1,1,0,0,1,0,0,0,False,False,cell,Unit of measure
Planetary Boundary,planetary boundary,unit,high,Predominantly appears exclusively in unit columns.,1,28,0,0,1,1,0,0,1,0,0,0,False,False,cell,Unit of measure
"Price index (implicit deflator), 2015=100, national currency","price index (implicit deflator), 2015=100, national currency",unit,high,Matches a unit pattern and appears exclusively in unit columns.,1,27,0,0,1,1,0,0,1,0,0,0,True,True,cell,Unit of measure
Gross tonnage (GT),gross tonnage (gt),unit,high,Predominantly appears exclusively in unit columns.,1,25,0,0,1,1,0,0,1,0,0,0,False,False,cell,Unit of measure
"Index, 2021=100","index, 2021=100",unit,high,Matches a unit pattern and appears exclusively in unit columns.,1,19,0,0,1,1,0,0,1,0,0,0,True,False,cell,Unit of measure
Thousand tonnes per day,thousand tonnes per day,unit,high,Matches a unit pattern and appears exclusively in unit columns.,1,15,0,0,1,1,0,0,1,0,0,0,True,False,cell,Unit of measure
"Index, latest year = 100","index, latest year = 100",unit,high,Matches a unit pattern and appears exclusively in unit columns.,1,12,0,0,1,1,0,0,1,0,0,0,True,False,cell,Unit of measure
Sum of the last 4 quarters (in TEUs),sum of the last 4 quarters (in teus),unit,high,Predominantly appears exclusively in unit columns.,1,9,0,0,1,1,0,0,1,0,0,0,False,False,cell,Unit of measure
Annual capacity/inputs in 1000T,annual capacity/inputs in 1000t,unit,high,Predominantly appears exclusively in unit columns.,1,7,0,0,1,1,0,0,1,0,0,0,False,False,cell,Unit of measure
Municipal waste per capita (Kg/inhab),municipal waste per capita (kg/inhab),unit,medium,Matches a unit pattern but appears in a mixed context.,1,7,0,0,1,0,1,0,0,1,0,0,True,False,cell,Indicator used in Euro_Med
"Poverty line, rural (national currency)","poverty line, rural (national currency)",unit,medium,Matches a unit pattern but appears in a mixed context.,1,7,0,0,1,0,1,0,0,1,0,0,True,False,cell,Indicator used in Euro_Med
"Poverty line, urban (national currency)","poverty line, urban (national currency)",unit,medium,Matches a unit pattern but appears in a mixed context.,1,7,0,0,1,0,1,0,0,1,0,0,True,False,cell,Indicator used in Euro_Med
Regular freshwater resources 95 per cent time,regular freshwater resources 95 per cent time,unit,medium,Matches a unit pattern but appears in a mixed context.,1,7,0,0,1,0,0,1,0,0,1,0,True,False,cell,Hydrological parameters - flows - sources - water supply - treatment of water
Sum of the last 4 quarters,sum of the last 4 quarters,unit,high,Predominantly appears exclusively in unit columns.,1,7,0,0,1,1,0,0,1,0,0,0,False,False,cell,Unit of measure
Currency in circulation and overnight deposits,currency in circulation and overnight deposits,unit,medium,Matches a unit pattern but appears in a mixed context.,1,6,0,0,1,0,0,1,0,0,1,0,True,False,cell,Stock or flow
Currency in circulation and overnight deposits (M1) plus deposits with an agreed maturity up to 2 years and deposits redeemable at a period of notice up to 3 months,currency in circulation and overnight deposits (m1) plus deposits with an agreed maturity up to 2 years and deposits redeemable at a period of notice up to 3 months,unit,medium,Matches a unit pattern but appears in a mixed context.,1,6,0,0,1,0,0,1,0,0,1,0,True,False,cell,Stock or flow
"Extreme poverty line, rural (national currency)","extreme poverty line, rural (national currency)",unit,medium,Matches a unit pattern but appears in a mixed context.,1,6,0,0,1,0,1,0,0,1,0,0,True,False,cell,Indicator used in Euro_Med
